score_file,scenario_id,runtime_view,driver,cli_mode,gate_passed,path_quality_score,cell_match_rate,protocol_compliance_rate,distraction_recovery_rate,backtrack_accuracy,turn_accuracy_rate,runtime_protocol_version,ordo_cli_version,canonical_ir_hash,targets_manifest_hash,session_trace_hash
scenario_010_ordo-code_score.json,scenario_010,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:41e4d9f6e149271403258e80bd10824ed8f9dd1a91abdf45c170f83ef4e18c8e
scenario_011_json_ordo-code_score.json,scenario_011,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:a0dfc51432fd7fad6c845ded1db0bf2cf5814ef585fe10809e2c6ef385946cbe
scenario_011_json_score.json,scenario_011,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:bb851d04ba27f399fbf73af8335a6343332db234559fd195ae908a92d2b91e92
scenario_011_ordo-code_score.json,scenario_011,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:565513dd55932fc7bc562463a21ed835a5bd140a9a8dddc40afbbc27972f70d8
scenario_012_json_ordo-code_score.json,scenario_012,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:146ad2ba39f35ab30054b843f87f503d431ce17646bea2312aca949401c5f32a
scenario_012_json_score.json,scenario_012,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:6e709f6e4c25957855821f993a046e1da4b2a5d4c6fa72b6052ec349f312d5a6
scenario_012_ordo-code_score.json,scenario_012,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:8d5a1b4be8f1dad1f12d2ffa86f2a44a95bd2617b5f9c5bb2b27d928d2501f2f
scenario_013_json_ordo-code_score.json,scenario_013,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:40e5bec50e25da8dddd6b1c7ebe736156aa58858616c5a7fd599c7b46a4ecc0f
scenario_013_json_score.json,scenario_013,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:d8ef1cebfe4c377ea554d2f83412f13f20cb9a1e527d2975a7549e8f93d3f299
scenario_013_ordo-code_score.json,scenario_013,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:0c97555905c85818d1b24d5d228775b9020319cacdace359ea912ffcd35bfd36
scenario_014_json_ordo-code_score.json,scenario_014,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:d4ed8046faa9da1c5561a9e573e2e2911e1f7fbea8e7459d4cff10115af59dc3
scenario_014_json_score.json,scenario_014,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:ff34ca73f303544c2296160c1c4995518bc7f0afe93b4ce1177b09a6739bdbd1
scenario_014_ordo-code_score.json,scenario_014,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:429d8e5cf981169566b0e3568dd6849538c2024d5441bccc61c573d79a76e229
scenario_015_json_ordo-code_score.json,scenario_015,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:3ef5146c8225f0fdfa12ed97b8f447db69cdf37268cef9b8ee4b898e77ded34e
scenario_015_json_score.json,scenario_015,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:5501355059c83abf1505dbe4f9e4a5a6e7c5a5c0506f486616f407f1f5032760
scenario_015_ordo-code_score.json,scenario_015,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:3dbb54b943bcd8f063531e15c1d17791fb973541fea9d66890585a0b3218a76c
scenario_016_json_ordo-code_score.json,scenario_016,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:8ffec892ff5c5d7cb5976d345609395089676db4dd4d83752faaa6e6cec66929
scenario_016_json_score.json,scenario_016,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:b19b117ce705edf9d81f9e3ade728867b768c383e30dce0e47d24b2c8ecaac47
scenario_016_ordo-code_score.json,scenario_016,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:c3fe2dfc4e790eca2e4fe944624d830bee6f0db96bab9163ab07b43cdfc65418
scenario_017_json_ordo-code_score.json,scenario_017,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:f1d8d12b85dd7d55e418f830deb034a5365733989422d82510b60356c07eb581
scenario_017_json_score.json,scenario_017,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:b8006dc4d16c77a4124d41e1d5475e7f291f09276f3ec114ec781ddc353fda10
scenario_017_ordo-code_score.json,scenario_017,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:b4fc0eb7efbbb17f6efe08bfbe873bfb7e964f74d0c1ed5b809bbba8ab71745c
scenario_018_json_ordo-code_score.json,scenario_018,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:308a510bfdb87eb361376d28e6536d8990b7c8d8a0ca44ce751114ee03768763
scenario_018_json_score.json,scenario_018,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:f7b0aa52a5992dcb55659e20db086a58066827517eadd4ff0035bd89bbcd7afb
scenario_018_ordo-code_score.json,scenario_018,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:3b2cae29ce53dbfc6a034bff46f31f253f519e144fb2f7f7a8cb952f4a4beeac
scenario_019_json_ordo-code_score.json,scenario_019,"json,ordo-code",benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:32c69c261af6d751bd8f10d295c7b90dff676b62bab141d54f0e17ffe978f4af,sha256:408b03c99b92479a234b00ea1979e0381d0bdff02d8998ef6b1c60781053630f,sha256:3f597f14f4587b83f9d82eb1d018d2b7da971f0ef3e32a9cb90dde03696fa82f
scenario_019_json_score.json,scenario_019,json,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:cce4f988fce9bb8f647e66591b7df3bbec8a076a753373586fa2f8711249ddbe,sha256:8f1834aae06d6dece7c42bf424cace1121db47451be9b25a76104f752820d1fd,sha256:fb813be1fa4c7e76ccef428b516d8496044227c99f63b97b48a2bf1e312726d9
scenario_019_ordo-code_score.json,scenario_019,ordo-code,benchmark-dry-run-ground-truth,enforced,True,1.0,1.0,1.0,1.0,1.0,1.0,M60.4,0.12,sha256:6aabeab52d18f5bc22061727f25205ce1bc51ab605f62401b5a14a95e0c4f0be,sha256:6f90121f0fdca2c6d60245b12e47d5bee184a62043200ab3269d9996093f3f9d,sha256:d4f9dc2290bd34936d43834f66d2741f32c8f104cc1e17f7a655ca0b924aad78
